mass	form_id	proper	cycle	occurrence	latin_incipit	printed_page	ia_leaf_range	pdf_artifact_page_range	alignment_status	english
comm-ss-alexandri-eventii-theoduli-martyrum	main	Postcommunion	all	1	Refecti participatione muneris sacri	579	587-587	588-588	candidate	Being refreshed by the participation of these sacred mysteries, we beseech thee, O Lord, that we may find the effects of what we celebrate, by the intercession of thy blessed Martyrs, Alexander, &c. Thro'.
comm-s-bonifatii-martyris	main	Secret	all	1	Muneribus nostris, quaesumus Domine	472	480-480	481-481	candidate	Receive, O Lord, we beseech thee, our offerings and prayers: purify us by those heavenly mysteries, and mercifully hear us. Thro'.
comm-s-petri-apostoli-2	main	Collect	all	1	Deus, qui beato Petro Apostolo tuo	538	546-546	547-547	candidate	O God, who by delivering to the blessed apostle Peter the keys of the kingdom of heaven, didst give him the power of binding and loosing: grant that, by his intercession, we may be freed from the bonds of our sins. Who livest.
comm-s-petri-apostoli-2	main	Secret	all	1	Ecclesiae tuae, quaesumus Domine	539	547-547	548-548	candidate	May the intercession, we beseech thee, O Lord, of Bishop Peter thy apostle, render the prayers and offerings of thy church acceptable to thee: that the mysteries we celebrate in his honour, may obtain for us the pardon of our sins. Thro'.
comm-s-petri-apostoli-2	main	Postcommunion	all	1	Laetificet nos, Domine, munus oblatum	539-540	547-548	548-549	candidate	May the sacrifice we have offered, O Lord, fill us with holy joy: that as we publish the miracles thou hast wrought in the person of thy Apostle Peter, so we may, through his prayers receive the abundant effects of thy mercy. Thro'.
comm-ss-symphorosae-septem-eius-filiorum	main	Secret	all	1	Munera tibi, Domine, nostrae devotionis offerimus	479	487-487	488-488	candidate	We bring thee, O Lord, the offerings of our devotion; and may they be acceptable to thee in honour of thy saints, and, by thy mercy, available to our salvation. Thro'.
comm-ss-hippolyti-cassiani-martyrum	main	Secret	all	1	Respice, Domine, munera populi tui	641	649-649	650-650	candidate	Receive, O Lord, our offerings on this festival of thy saints: and may their bearing witness of thy truth advance our salvation. Thro'.
comm-ss-hippolyti-cassiani-martyrum	main	Postcommunion	all	1	Sacramentorum tuorum, Domine, communio	641	649-649	650-650	candidate	Let the participation of thy sacraments, O Lord, save us: and confirm us in the light of thy truth. Thro'.
comm-s-hermetis-martyris	main	Secret	all	1	Sacrificium tibi, Domine, laudis offerimus	652	660-660	661-661	candidate	We offer thee, O Lord, the sacrifice of praise in commemoration of thy saints: grant, therefore, we beseech thee, that what hath procured glory for them may avail to our salvation. Thro'.
comm-s-hermetis-martyris	main	Postcommunion	all	1	Repleti, Domine, benedictione coelesti	652	660-660	661-661	candidate	Being fed with thy heavenly food, O Lord, we beseech thy clemency, that by the prayers of blessed Hermes, thy martyr we may partake of the salutary effects of the mysteries which we celebrate with humility. Thro'.
comm-s-gorgonii-martyris	main	Secret	all	1	Grata tibi sit, Domine, nostrae servitutis oblatio	657	665-665	666-666	candidate	May the offerings of us thy servants, O Lord, be acceptable to thee, by the intercession of blessed Gorgonius, thy martyr.
comm-s-gorgonii-martyris	main	Postcommunion	all	1	Familiam tuam, Deus, suavitas aeterna	657	665-665	666-666	candidate	Grant, O God, that thy servants may taste and be fed with eternal joys: and by the example of thy martyr Gorgonius, be continually replenished with the good odour of thy Son Christ. Who liveth.
comm-ss-proti-hyacinthi-martyrum	main	Secret	all	1	Pro sanctorum Martyrum tuorum Proti et Hyacinthi	658	666-666	667-667	candidate	We offer thee, O Lord, in memory of thy holy martyrs, Protus and Hyacinth, the gifts which are due to thee: grant, we beseech thee, that we may thereby receive the assistance necessary for eternal life.
comm-ss-proti-hyacinthi-martyrum	main	Postcommunion	all	1	Ut percepta nos, Domine, tua sancta purificent	658	666-666	667-667	candidate	grant, we beseech thee, O Lord, by the intercession of thy holy martyrs, Protus and Hyacinth, that thy holy mysteries which we have received, may purify us.
