book	chapter	verse	kind	marker	printed
Ex	24	13	prose	p	
Ex	24	15	prose	p	
Ex	25	10	prose	p	
Ex	25	23	prose	p	
Ex	25	31	prose	p	
Ex	26	7	prose	p	
Ex	26	15	prose	p	
Ex	26	26	prose	p	
Ex	26	31	prose	p	
Ex	26	36	prose	p	
Ex	27	9	prose	p	
Ex	27	20	prose	p	
Ex	28	6	prose	p	
Ex	28	15	prose	p	
Ex	28	31	prose	p	
Ex	28	36	prose	p	
Ex	28	40	prose	p	
Ex	29	10	prose	p	
Ex	29	15	prose	p	
Ex	29	19	prose	p	
Ex	29	26	prose	p	
Ex	29	29	prose	p	
Ex	29	31	prose	p	
Ex	29	35	prose	p	
Ex	29	38	prose	p	
Ex	30	11	prose	p	
Ex	30	17	prose	p	
Ex	30	22	prose	p	
Ex	30	34	prose	p	
Ex	31	12	prose	p	
Ex	31	18	prose	p	
Ex	32	2	prose	p	
Ex	32	3	prose	p	
Ex	32	5	prose	p	
Ex	32	6	prose	p	
Ex	32	7	prose	p	
Ex	32	9	prose	p	
Ex	32	11	prose	p	
Ex	32	14	prose	p	
Ex	32	15	prose	p	
Ex	32	17	prose	p	
Ex	32	18	prose	p	
Ex	32	21	prose	p	
Ex	32	22	prose	p	
Ex	32	25	prose	p	
Ex	32	27	prose	p	
Ex	32	30	prose	p	
Ex	32	31	prose	p	
Ex	32	33	prose	p	
Ex	33	4	prose	p	
Ex	33	5	prose	p	
Ex	33	6	prose	p	
Ex	33	7	prose	p	
Ex	33	12	prose	p	
Ex	33	14	prose	p	
Ex	33	15	prose	p	
Ex	33	17	prose	p	
Ex	33	18	prose	p	
Ex	33	19	prose	p	
Ex	34	4	prose	p	
Ex	34	8	prose	p	
Ex	34	10	prose	p	
Ex	34	15	prose	p	
Ex	34	17	prose	p	
Ex	34	18	prose	p	
Ex	34	19	prose	p	
Ex	34	21	prose	p	
Ex	34	22	prose	p	
Ex	34	25	prose	p	
Ex	34	26	prose	p	
Ex	34	27	prose	p	
Ex	34	28	prose	p	
Ex	34	29	prose	p	
Ex	35	4	prose	p	
Ex	35	10	prose	p	
Ex	35	20	prose	p	
Ex	35	30	prose	p	
Ex	36	2	prose	p	
Ex	36	6	prose	p	
Ex	36	8	prose	p	
Ex	36	14	prose	p	
Ex	36	20	prose	p	
Ex	36	31	prose	p	
Ex	36	35	prose	p	
Ex	37	10	prose	p	
Ex	37	17	prose	p	
Ex	37	25	prose	p	
Ex	38	8	prose	p	
Ex	38	9	prose	p	
Ex	38	21	prose	p	
Ex	38	24	prose	p	
Ex	39	2	prose	p	
Ex	39	6	prose	p	
Ex	39	8	prose	p	
Ex	39	22	prose	p	
Ex	39	27	prose	p	
Ex	39	30	prose	p	
Ex	39	32	prose	p	
Ex	40	6	prose	p	
Ex	40	9	prose	p	
Ex	40	12	prose	p	
Ex	40	17	prose	p	
Ex	40	34	prose	p	
Lev	1	3	prose	p	
Lev	1	10	prose	p	
Lev	1	14	prose	p	
Lev	2	4	prose	p	
Lev	2	11	prose	p	
Lev	2	14	prose	p	
Lev	3	6	prose	p	
Lev	3	12	prose	p	
Lev	3	17	prose	p	
Lev	4	13	prose	p	
Lev	4	22	prose	p	
Lev	4	27	prose	p	
Lev	4	32	prose	p	
Lev	5	2	prose	p	
Lev	5	3	prose	p	
Lev	5	4	prose	p	
Lev	5	7	prose	p	
Lev	5	11	prose	p	
Lev	5	14	prose	p	
Lev	5	17	prose	p	
Lev	6	8	prose	p	
Lev	6	14	prose	p	
Lev	6	19	prose	p	
Lev	6	24	prose	p	
Lev	7	7	prose	p	
Lev	7	11	prose	p	
Lev	7	16	prose	p	
Lev	7	19	prose	p	
Lev	7	22	prose	p	
Lev	7	28	prose	p	
Lev	7	35	prose	p	
Lev	8	4	prose	p	
Lev	8	14	prose	p	
Lev	8	31	prose	p	
Lev	9	5	prose	p	
Lev	9	8	prose	p	
Lev	9	23	prose	p	
Lev	10	3	prose	p	
Lev	10	4	prose	p	
Lev	10	6	prose	p	
Lev	10	12	prose	p	
Lev	10	16	prose	p	
Lev	10	19	prose	p	
Lev	10	20	prose	p	
Lev	11	4	prose	p	
Lev	11	9	prose	p	
Lev	11	13	prose	p	
Lev	11	20	prose	p	
Lev	11	24	prose	p	
Lev	11	26	prose	p	
Lev	11	29	prose	p	
Lev	11	39	prose	p	
Lev	11	41	prose	p	
Lev	11	46	prose	p	
Lev	12	6	prose	p	
Lev	12	8	prose	p	
Lev	13	9	prose	p	
Lev	13	12	prose	p	
Lev	13	18	prose	p	
Lev	13	24	prose	p	
Lev	13	29	prose	p	
Lev	13	38	prose	p	
Lev	13	40	prose	p	
Lev	13	45	prose	p	
Lev	13	47	prose	p	
Lev	13	53	prose	p	
Lev	13	59	prose	p	
Lev	14	2	prose	p	
Lev	14	8	prose	p	
Lev	14	10	prose	p	
Lev	14	12	prose	p	
Lev	14	19	prose	p	
Lev	14	21	prose	p	
Lev	14	23	prose	p	
Lev	14	32	prose	p	
Lev	14	33	prose	p	
Lev	14	43	prose	p	
Lev	14	46	prose	p	
Lev	14	48	prose	p	
Lev	14	54	prose	p	
Lev	15	4	prose	p	
Lev	15	7	prose	p	
Lev	15	8	prose	p	
Lev	15	9	prose	p	
Lev	15	11	prose	p	
Lev	15	12	prose	p	
Lev	15	13	prose	p	
Lev	15	14	prose	p	
Lev	15	16	prose	p	
Lev	15	19	prose	p	
Lev	15	20	prose	p	
Lev	15	24	prose	p	
Lev	15	25	prose	p	
Lev	15	28	prose	p	
Lev	15	31	prose	p	
Lev	15	32	prose	p	
Lev	16	3	prose	p	
Lev	16	6	prose	p	
Lev	16	11	prose	p	
Lev	16	15	prose	p	
Lev	16	18	prose	p	
Lev	16	20	prose	p	
Lev	16	23	prose	p	
Lev	16	26	prose	p	
Lev	16	29	prose	p	
Lev	16	34	prose	p	
Lev	17	8	prose	p	
Lev	17	10	prose	p	
Lev	17	13	prose	p	
Lev	17	15	prose	p	
Lev	18	6	prose	p	
Lev	18	7	prose	p	
Lev	18	8	prose	p	
Lev	18	9	prose	p	
Lev	18	10	prose	p	
Lev	18	11	prose	p	
Lev	18	12	prose	p	
Lev	18	13	prose	p	
Lev	18	14	prose	p	
Lev	18	15	prose	p	
Lev	18	16	prose	p	
Lev	18	17	prose	p	
Lev	18	18	prose	p	
Lev	18	19	prose	p	
Lev	18	20	prose	p	
Lev	18	21	prose	p	
Lev	18	22	prose	p	
Lev	18	23	prose	p	
Lev	18	24	prose	p	
Lev	18	29	prose	p	
Lev	19	3	prose	p	
Lev	19	4	prose	p	
Lev	19	5	prose	p	
Lev	19	9	prose	p	
Lev	19	11	prose	p	
Lev	19	12	prose	p	
Lev	19	13	prose	p	
Lev	19	14	prose	p	
Lev	19	15	prose	p	
Lev	19	16	prose	p	
Lev	19	17	prose	p	
Lev	19	18	prose	p	
Lev	19	19	prose	p	
Lev	19	20	prose	p	
Lev	19	23	prose	p	
Lev	19	26	prose	p	
Lev	19	27	prose	p	
Lev	19	28	prose	p	
Lev	19	29	prose	p	
Lev	19	30	prose	p	
Lev	19	31	prose	p	
Lev	19	32	prose	p	
Lev	19	33	prose	p	
