book	chapter	verse	kind	marker	printed
Gen	50	7	prose	p	pilcrow
Gen	50	14	prose	p	pilcrow
Gen	50	15	prose	p	pilcrow
Gen	50	22	prose	p	pilcrow
Ex	1	7	prose	p	pilcrow
Ex	1	8	prose	p	
Ex	1	15	prose	p	pilcrow
Ex	2	5	prose	p	pilcrow
Ex	2	11	prose	p	pilcrow
Ex	2	16	prose	p	
Ex	2	23	prose	p	pilcrow
Ex	3	7	prose	p	pilcrow
Ex	3	11	prose	p	pilcrow
Ex	3	16	prose	p	
Ex	3	19	prose	p	pilcrow
Ex	4	6	prose	p	pilcrow
Ex	4	10	prose	p	pilcrow
Ex	4	18	prose	p	pilcrow
Ex	4	24	prose	p	pilcrow
Ex	4	27	prose	p	pilcrow
Ex	4	29	prose	p	pilcrow
Ex	5	3	prose	p	
Ex	5	10	prose	p	pilcrow
Ex	5	15	prose	p	pilcrow
Ex	5	20	prose	p	pilcrow
Ex	6	9	prose	p	pilcrow
Ex	6	10	prose	p	
Ex	6	14	prose	p	pilcrow
Ex	6	16	prose	p	pilcrow
Ex	6	21	prose	p	pilcrow
Ex	6	28	prose	p	pilcrow
Ex	7	8	prose	p	pilcrow
Ex	7	10	prose	p	pilcrow
Ex	7	14	prose	p	pilcrow
Ex	7	19	prose	p	pilcrow
Ex	8	5	prose	p	pilcrow
Ex	8	8	prose	p	pilcrow
Ex	8	16	prose	p	pilcrow
Ex	8	20	prose	p	pilcrow
Ex	8	25	prose	p	pilcrow
Ex	9	8	prose	p	pilcrow
Ex	9	13	prose	p	pilcrow
Ex	9	22	prose	p	pilcrow
Ex	9	27	prose	p	pilcrow
Ex	10	12	prose	p	pilcrow
Ex	10	16	prose	p	pilcrow
Ex	10	21	prose	p	pilcrow
Ex	10	24	prose	p	pilcrow
Ex	10	27	prose	p	pilcrow
Ex	11	4	prose	p	
Ex	12	3	prose	p	pilcrow
Ex	12	11	prose	p	pilcrow
Ex	12	18	prose	p	pilcrow
Ex	12	21	prose	p	pilcrow
Ex	12	29	prose	p	pilcrow
Ex	12	31	prose	p	pilcrow
Ex	12	37	prose	p	pilcrow
Ex	12	40	prose	p	pilcrow
Ex	12	43	prose	p	pilcrow
Ex	13	3	prose	p	pilcrow
Ex	13	5	prose	p	pilcrow
Ex	13	8	prose	p	pilcrow
Ex	13	11	prose	p	pilcrow
Ex	13	14	prose	p	pilcrow
Ex	13	17	prose	p	pilcrow
Ex	13	20	prose	p	pilcrow
Ex	14	5	prose	p	pilcrow
Ex	14	10	prose	p	pilcrow
Ex	14	13	prose	p	pilcrow
Ex	14	15	prose	p	pilcrow
Ex	14	19	prose	p	pilcrow
Ex	14	21	prose	p	
Ex	14	23	prose	p	pilcrow
Ex	14	26	prose	p	pilcrow
Ex	15	20	prose	p	pilcrow
Ex	15	22	prose	p	
Ex	15	23	prose	p	pilcrow
Ex	15	27	prose	p	pilcrow
Ex	16	4	prose	p	pilcrow
Ex	16	9	prose	p	pilcrow
Ex	16	11	prose	p	pilcrow
Ex	16	13	prose	p	
Ex	16	16	prose	p	pilcrow
Ex	16	22	prose	p	pilcrow
Ex	16	27	prose	p	pilcrow
Ex	16	32	prose	p	pilcrow
Ex	17	8	prose	p	pilcrow
Ex	18	7	prose	p	pilcrow
Ex	18	13	prose	p	pilcrow
Ex	18	27	prose	p	pilcrow
Ex	19	7	prose	p	pilcrow
Ex	19	9	prose	p	
Ex	19	10	prose	p	pilcrow
Ex	19	14	prose	p	pilcrow
Ex	19	16	prose	p	pilcrow
Ex	20	12	prose	p	pilcrow
Ex	20	18	prose	p	pilcrow
Ex	20	22	prose	p	pilcrow
Ex	20	24	prose	p	pilcrow
Ex	21	7	prose	p	pilcrow
Ex	21	12	prose	p	pilcrow
Ex	21	15	prose	p	pilcrow
Ex	21	16	prose	p	pilcrow
Ex	21	17	prose	p	pilcrow
Ex	21	18	prose	p	pilcrow
Ex	21	20	prose	p	pilcrow
Ex	21	22	prose	p	pilcrow
Ex	21	26	prose	p	pilcrow
Ex	21	28	prose	p	pilcrow
Ex	21	33	prose	p	pilcrow
Ex	21	35	prose	p	pilcrow
Ex	22	2	prose	p	pilcrow
Ex	22	5	prose	p	pilcrow
Ex	22	6	prose	p	pilcrow
Ex	22	7	prose	p	pilcrow
Ex	22	14	prose	p	pilcrow
Ex	22	16	prose	p	pilcrow
Ex	22	18	prose	p	pilcrow
Ex	22	19	prose	p	pilcrow
Ex	22	20	prose	p	pilcrow
Ex	22	21	prose	p	pilcrow
Ex	22	22	prose	p	pilcrow
Ex	22	25	prose	p	pilcrow
Ex	22	28	prose	p	pilcrow
Ex	22	29	prose	p	pilcrow
Ex	22	31	prose	p	pilcrow
Ex	23	2	prose	p	pilcrow
Ex	23	3	prose	p	pilcrow
Ex	23	4	prose	p	pilcrow
Ex	23	8	prose	p	pilcrow
Ex	23	9	prose	p	pilcrow
Ex	23	10	prose	p	
Ex	23	14	prose	p	pilcrow
Ex	23	20	prose	p	pilcrow
Ex	23	26	prose	p	pilcrow
Ex	24	3	prose	p	pilcrow
Ex	24	9	prose	p	pilcrow
Ex	24	12	prose	p	pilcrow
Ex	25	10	prose	p	pilcrow
Ex	25	23	prose	p	pilcrow
Ex	25	31	prose	p	pilcrow
Ex	26	7	prose	p	pilcrow
